symbol,date,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,trade_count,vwap
SPY,2025-10-10 12:13:00+00:00,672.23,672.23,672.23,672.23,160.0,2.0,672.23
SPY,2025-10-10 13:30:00+00:00,672.145,672.25,671.91,671.95,15225.0,144.0,672.064084
SPY,2025-10-10 13:31:00+00:00,672.0,672.59,672.0,672.59,4219.0,46.0,672.301806
SPY,2025-10-10 13:32:00+00:00,672.64,672.71,672.585,672.695,4858.0,50.0,672.652019
SPY,2025-10-10 13:33:00+00:00,672.74,672.75,672.45,672.47,4427.0,40.0,672.601216
SPY,2025-10-10 13:34:00+00:00,672.455,672.58,672.42,672.475,7634.0,66.0,672.516884
SPY,2025-10-10 13:35:00+00:00,672.46,672.76,672.46,672.73,1965.0,35.0,672.696091
SPY,2025-10-10 13:36:00+00:00,672.715,673.065,672.715,673.065,3736.0,43.0,672.857685
SPY,2025-10-10 13:37:00+00:00,673.04,673.51,673.035,673.51,2477.0,32.0,673.134369
SPY,2025-10-10 13:38:00+00:00,673.505,673.58,673.475,673.5,1783.0,27.0,673.506656
SPY,2025-10-10 13:39:00+00:00,673.45,673.48,673.38,673.48,3032.0,28.0,673.414787
SPY,2025-10-10 13:40:00+00:00,673.45,673.47,673.215,673.43,2720.0,28.0,673.412322
SPY,2025-10-10 13:41:00+00:00,673.445,673.445,673.35,673.35,791.0,18.0,673.3875
SPY,2025-10-10 13:42:00+00:00,673.44,673.6,673.44,673.5,5016.0,57.0,673.51779
SPY,2025-10-10 13:43:00+00:00,673.485,673.485,673.195,673.35,1761.0,25.0,673.358214
SPY,2025-10-10 13:44:00+00:00,673.46,673.48,673.43,673.48,1041.0,22.0,673.45875
SPY,2025-10-10 13:45:00+00:00,673.67,673.89,673.67,673.85,2590.0,41.0,673.795882
SPY,2025-10-10 13:46:00+00:00,673.8,673.815,673.73,673.73,5508.0,40.0,673.774497
SPY,2025-10-10 13:47:00+00:00,673.85,673.89,673.85,673.89,275.0,9.0,673.87
SPY,2025-10-10 13:48:00+00:00,673.64,673.66,673.47,673.47,1264.0,18.0,673.542222
SPY,2025-10-10 13:49:00+00:00,673.66,673.66,673.04,673.08,3225.0,34.0,673.310176
SPY,2025-10-10 13:50:00+00:00,673.04,673.04,672.72,672.73,4908.0,58.0,672.950125
SPY,2025-10-10 13:51:00+00:00,672.75,672.87,672.57,672.69,2620.0,31.0,672.697266
SPY,2025-10-10 13:52:00+00:00,672.64,673.005,672.62,673.0,3695.0,31.0,672.876618
SPY,2025-10-10 13:53:00+00:00,672.885,672.92,672.68,672.81,2733.0,26.0,672.841682
SPY,2025-10-10 13:54:00+00:00,672.74,672.815,672.515,672.585,8891.0,56.0,672.691422
SPY,2025-10-10 13:55:00+00:00,672.61,672.635,672.56,672.63,2622.0,37.0,672.607174
SPY,2025-10-10 13:56:00+00:00,672.78,672.78,672.78,672.78,192.0,3.0,672.78
SPY,2025-10-10 13:57:00+00:00,672.87,672.91,672.75,672.84,1558.0,28.0,672.821667
SPY,2025-10-10 13:58:00+00:00,672.9,673.16,672.84,673.16,3314.0,39.0,673.019322
SPY,2025-10-10 13:59:00+00:00,673.2,673.2,673.07,673.12,2598.0,29.0,673.157405
SPY,2025-10-10 14:00:00+00:00,673.16,673.23,673.09,673.22,2659.0,31.0,673.178804
SPY,2025-10-10 14:01:00+00:00,673.07,673.07,672.2,672.4,2633.0,31.0,672.549348
SPY,2025-10-10 14:02:00+00:00,672.365,672.715,672.27,672.715,3561.0,24.0,672.410726
SPY,2025-10-10 14:03:00+00:00,672.63,672.63,672.63,672.63,231.0,11.0,672.63
SPY,2025-10-10 14:04:00+00:00,672.59,672.625,672.51,672.54,889.0,12.0,672.5625
SPY,2025-10-10 14:05:00+00:00,672.34,672.425,672.33,672.425,1868.0,25.0,672.35233
SPY,2025-10-10 14:06:00+00:00,672.42,672.7,672.41,672.7,893.0,15.0,672.49125
SPY,2025-10-10 14:07:00+00:00,672.79,673.17,672.73,673.06,5581.0,46.0,672.947248
SPY,2025-10-10 14:08:00+00:00,673.085,673.13,672.84,673.02,5525.0,43.0,673.021155
SPY,2025-10-10 14:09:00+00:00,673.01,673.07,672.95,673.07,2458.0,26.0,672.999268
SPY,2025-10-10 14:10:00+00:00,673.04,673.055,672.94,672.94,1609.0,23.0,673.008929
SPY,2025-10-10 14:11:00+00:00,672.985,673.03,672.87,672.97,1177.0,23.0,672.971322
SPY,2025-10-10 14:12:00+00:00,672.98,673.02,672.94,672.94,1555.0,12.0,672.968645
SPY,2025-10-10 14:13:00+00:00,672.57,672.66,672.57,672.66,470.0,12.0,672.62
SPY,2025-10-10 14:14:00+00:00,672.59,672.59,672.475,672.555,749.0,18.0,672.550542
SPY,2025-10-10 14:15:00+00:00,672.51,672.54,672.33,672.35,2853.0,30.0,672.440781
SPY,2025-10-10 14:16:00+00:00,672.31,672.31,671.985,672.07,1648.0,25.0,672.118478
